"Id","Name","Url","Parent","Wave","Folder","Slug","IsFolder"
"9","Members","main/members/listall","14","1","other","members","False"
"10","Member Category","masters/member_category","14","1","other","member-category","False"
"11","Basic Units","BasicUnits/listall","15","1","master","basic-units","False"
"12","Suppliers (Sundry Creditors)","suppliers/listall/sup","15","1","master","suppliers-sundry-creditors","False"
"13","Accounts Master","","0","-","other","accounts-master","True"
"15","General Masters","","0","-","other","general-masters","True"
"17","Company Info","company/com_info/listall","123","1","master","company-info","False"
"19","Sub Account","accounts/accsubtype","13","1","accounts_master","sub-account","False"
"20","Main Account","accounts/acctype","13","1","accounts_master","main-account","False"
"21","Ledger Group","accounts_master/LedgerGroup/listall","13","1","accounts_master","ledger-group","False"
"22","Ledgers","accounts_master/Ledger/listall","13","1","accounts_master","ledgers","False"
"24","Inventory Management","","0","-","other","inventory-management","True"
"25","Item Type","items//itemtype","24","1","master","item-type","False"
"26","Category","items//itemcategory","24","1","master","category","False"
"29","Transactions","","0","-","other","transactions","True"
"30","Payment Vouchers","transaction//vouchers//listall//payment","294","1","transaction","payment-vouchers","False"
"31","Journal Vouchers","transaction//vouchers//listall//journal","294","1","transaction","journal-vouchers","False"
"32","Receipt Vouchers","transaction//vouchers//listall//receipt","294","1","transaction","receipt-vouchers","False"
"33","Purchase Register","transaction/purchase/listall/purchase","293","1","transaction","purchase-register","False"
"35","Member Type","masters/member_type","14","1","other","member-type","False"
"36","Financial Reports","","0","-","other","financial-reports","True"
"37","Ledger Book","reports/accounts/leadger","36","2","accounts_master","ledger-book","False"
"41","Cash Book","reports/accounts/cashbook","36","2","accounts_master","cash-book","False"
"42","Day Book","reports/accounts/daybook","36","2","accounts_master","day-book","False"
"43","Trial Balance","reports/accounts/trial","36","2","accounts_master","trial-balance","False"
"44","Sales Order","transaction/sales/listall/estimate","292","1","transaction","sales-order","False"
"45","Reference (Agent)","masters/reference","15","1","other","reference-agent","False"
"46","Customers (Sundry Debtor)","customers/listall","15","1","master","customers-sundry-debtor","False"
"48","Sales Register","transaction/sales/listall/sales","292","1","transaction","sales-register","False"
"49","Stock Ledger","reports/stock/leadger","297","2","reports","stock-ledger","False"
"50","Settings","","0","-","other","settings","True"
"51","Menus","masters/menu","50","1","settings","menus","False"
